Biome,Log-OC,Log-SMC
Cropland,1.707295393,-0.874361353
Cropland,1.087909216,-0.871681523
Cropland,1.189879544,-0.868112403
Cropland,1.109144469,-0.84509804
Cropland,1.866709189,-0.84509804
Cropland,1.542062062,-0.827660768
Cropland,1.707295393,-0.823908741
Cropland,1.78510011,-0.801165614
Cropland,1.099702913,-0.783791518
Cropland,1.529827605,-0.767085824
Cropland,1.529827605,-0.767085824
Cropland,0.587819552,-0.720509682
Cropland,1.232914176,-0.713210443
Cropland,1.232914176,-0.713210443
Cropland,1.283227918,-0.712758289
Cropland,1.038838004,-0.706031859
Cropland,1.136871846,-0.698970004
Cropland,1.138678548,-0.698970004
Cropland,1.271841607,-0.698970004
Cropland,1.348304863,-0.698970004
Cropland,1.378397901,-0.698970004
Cropland,1.188024369,-0.692236622
Cropland,1.56171675,-0.692021144
Cropland,1.153451894,-0.672641066
Cropland,1.284366305,-0.672641066
Cropland,1.188024369,-0.666300888
Cropland,1.504273501,-0.665286891
Cropland,1,-0.658852781
Cropland,1.198834386,-0.658852781
Cropland,1.243882186,-0.65389163
Cropland,1.046457401,-0.652512603
Cropland,0.508638306,-0.646263654
Cropland,1.472426134,-0.646263654
Cropland,1.341147219,-0.640103345
Cropland,1.142106762,-0.634029197
Cropland,1.675955641,-0.628038834
Cropland,1.234083206,-0.627614096
Cropland,1.121422163,-0.61630043
Cropland,1.684729565,-0.615143853
Cropland,1.109144469,-0.614649119
Cropland,0.712758289,-0.610548102
Cropland,1.099702913,-0.588271707
Cropland,1.569336147,-0.588271707
Cropland,1.707295393,-0.573856184
Cropland,1.121422163,-0.572283601
Cropland,1.131887597,-0.572283601
Cropland,1.453120978,-0.561942768
Cropland,1.121422163,-0.556863243
Cropland,1.455931956,-0.544068044
Cropland,1.605548319,-0.541971687
Cropland,1.684729565,-0.528046182
Cropland,1.070931171,-0.513638089
Cropland,1.836143197,-0.51265958
Cropland,1.359896655,-0.500135618
Cropland,1.057641568,-0.495726499
Cropland,0.602059991,-0.494850022
Cropland,1.891298462,-0.492915522
Cropland,0.576824168,-0.491361694
Cropland,1.345233658,-0.483370204
Cropland,1.824608652,-0.482761522
Cropland,0.756611573,-0.474328355
Cropland,1.142106762,-0.474328355
Cropland,1.622581658,-0.470172395
Cropland,1.351637801,-0.463757293
Cropland,0.587819552,-0.457937938
Cropland,1.359021943,-0.455931956
Cropland,1.899194943,-0.447158031
Cropland,0.796440036,-0.43828325
Cropland,1.371961166,-0.43828325
Cropland,1.684729565,-0.427278258
Cropland,0.712758289,-0.423175832
Cropland,1.856943169,-0.419479687
Cropland,1.171396138,-0.412180448
Cropland,1.552841969,-0.405765346
Cropland,1.207608311,-0.401456582
Cropland,1.133538908,-0.397940009
Cropland,1.155336037,-0.397940009
Cropland,1.83159557,-0.382700042
Cropland,1.353736346,-0.377418342
Cropland,1.853871964,-0.375276024
Cropland,1.330993219,-0.367976785
Cropland,1.397940009,-0.367976785
Cropland,1.679946767,-0.367976785
Cropland,1.862472136,-0.367976785
Cropland,1.925753972,-0.367976785
Cropland,2,-0.367976785
Cropland,0.766316881,-0.348346894
Cropland,1.775810035,-0.345233658
Cropland,1.353736346,-0.336025656
Cropland,0.751676355,-0.315270435
Cropland,0.809668302,-0.315270435
Cropland,1.328182242,-0.315270435
Cropland,1.328182242,-0.315270435
Cropland,1.544068044,-0.307278945
Cropland,2.057991947,-0.307278945
Cropland,1.353736346,-0.306670263
Cropland,0.782796155,-0.301029996
Cropland,1.372385904,-0.301029996
Cropland,1.834974167,-0.292704607
Cropland,1.803261971,-0.291622527
Cropland,1.353736346,-0.28996457
Cropland,0.818268474,-0.287241711
Cropland,1.099702913,-0.287241711
Cropland,1.142106762,-0.287241711
Cropland,1.38369957,-0.287241711
Cropland,2.234083206,-0.282805176
Cropland,1.455931956,-0.276896316
Cropland,1.56144214,-0.276896316
Cropland,0.955796338,-0.260912772
Cropland,2.360507907,-0.260912772
Cropland,1.397940009,-0.254033433
Cropland,1.535113202,-0.248500944
Cropland,1.789671673,-0.248323645
Cropland,1.6734159,-0.243038049
Cropland,2.163502132,-0.243038049
Cropland,0.605548319,-0.236089189
Cropland,0.751676355,-0.236089189
Cropland,0.898806837,-0.236089189
Cropland,1.353736346,-0.236089189
Cropland,1.301029996,-0.22184875
Cropland,2.029963223,-0.22184875
Cropland,1.365970803,-0.219520087
Cropland,2.285235728,-0.21670911
Cropland,1.152090983,-0.212608093
Cropland,1.756961951,-0.211629584
Cropland,1.574857708,-0.210683752
Cropland,0.749187554,-0.20941976
Cropland,0.667000798,-0.186871166
Cropland,0.888849548,-0.186010324
Cropland,2.06069784,-0.175199484
Cropland,1.121422163,-0.169142399
Cropland,1.16185082,-0.169142399
Cropland,1.486361911,-0.169142399
Cropland,2.105235402,-0.167079239
Cropland,1.315970345,-0.15490196
Cropland,1.389451898,-0.148939013
Cropland,1.6734159,-0.146128036
Cropland,1.698970004,-0.146128036
Cropland,2.285235728,-0.146128036
Cropland,1.922057826,-0.124938737
Cropland,1.854991281,-0.122145836
Cropland,1.653212514,-0.104735351
Cropland,2.132625565,-0.104735351
Cropland,1.826999818,-0.101622115
Cropland,1.249000996,-0.100426587
Cropland,1.301029996,-0.096910013
Cropland,1.315970345,-0.096910013
Cropland,1.357934847,-0.096910013
Cropland,1.422452159,-0.096910013
Cropland,2.301029996,-0.085430195
Cropland,2.084320886,-0.082419476
Cropland,1.176091259,-0.081670046
Cropland,1.516629796,-0.06694679
Cropland,2.057448739,-0.06694679
